fiscal_year,agency_name,agency_start_date,work_location_borough,title_description,leave_status_as_of_june_30,base_salary,pay_basis,regular_hours,regular_gross_paid,ot_hours,total_ot_paid,total_other_pay
2017,DEPT OF ED PARA PROFESSIONALS,2015-09-09,MANHATTAN,SUBSTITUTE ED PARA,ACTIVE,147.37,per Day,0.0,9205.51,0.0,0.0,0.0
2017,BOARD OF ELECTION POLL WORKERS,2016-01-01,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,581.0,0.0,0.0,0.0
2017,BOROUGH PRESIDENT-QUEENS,2014-11-10,QUEENS,PUBLIC INFORMATION OFFICER,ACTIVE,100000.0,per Annum,1825.0,101329.73,0.0,0.0,0.0
2017,BOARD OF ELECTION POLL WORKERS,2016-01-01,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,300.0,0.0,0.0,0.0
2017,DEPARTMENT OF CORRECTION,2013-05-16,QUEENS,CORRECTION OFFICER,ACTIVE,55910.0,per Annum,2077.2,54479.86,592.25,23894.54,5365.7
2017,ADMIN TRIALS AND HEARINGS,2011-07-04,MANHATTAN,HEARING OFFICER,ACTIVE,51.27,per Hour,790.5,37874.55,0.0,0.0,0.0
2017,DEPARTMENT OF CORRECTION,1996-01-04,MANHATTAN,CORRECTION OFFICER,ACTIVE,82808.0,per Annum,2085.72,84295.91,483.52,32738.97,14140.9
2017,BOARD OF ELECTION POLL WORKERS,2014-01-01,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,500.0,0.0,0.0,0.0
2017,DEPT OF ED HRLY SUPPORT STAFF,2006-10-10,MANHATTAN,F/T DC 37 FAMILY PARA,ACTIVE,15.66,per Hour,0.0,21827.13,0.0,0.0,0.0
2017,DEPT OF ED PARA PROFESSIONALS,2000-07-11,MANHATTAN,ANNUAL ED PARA,CEASED,32186.0,per Annum,0.0,5292.79,0.0,0.0,0.0
2017,BOARD OF ELECTION POLL WORKERS,2012-01-01,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,278.0,0.0,0.0,0.0
2017,BOARD OF ELECTION POLL WORKERS,2016-01-01,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,300.0,0.0,0.0,0.0
2017,DEPT OF ED HRLY SUPPORT STAFF,2016-06-06,MANHATTAN,SUBSTITUTE RECREATION ASSISTANT,ACTIVE,11.0,per Hour,0.0,630.0,0.0,0.0,0.0
2017,DEPARTMENT OF EDUCATION ADMIN,2010-04-25,QUEENS,OCCUPATIONAL THERAPIST,ACTIVE,71384.0,per Annum,1664.0,71162.58,0.0,0.0,5962.5
2017,DEPARTMENT OF CORRECTION,2007-03-08,QUEENS,CORRECTION OFFICER,ACTIVE,82808.0,per Annum,2085.72,84295.91,878.03,58444.23,9527.52
2017,DEPT OF ED HRLY SUPPORT STAFF,1989-11-14,MANHATTAN,F/T SCHOOL AIDE,ACTIVE,15.94,per Hour,0.0,27249.82,0.0,245.08,0.0
2017,COMMUNITY COLLEGE (LAGUARDIA),2004-09-01,QUEENS,ASSISTANT PROFESSOR,ACTIVE,90149.0,per Annum,260.72,105027.09,0.0,0.0,1000.0
2017,BOROUGH PRESIDENT-QUEENS,2014-06-02,QUEENS,COMMUNITY ASSOCIATE,ACTIVE,42863.0,per Annum,1825.0,44099.9,0.0,0.0,0.0
2017,DEPT OF ED HRLY SUPPORT STAFF,2009-11-24,MANHATTAN,F/T SR. SCHOOL LUNCH HELPER,CEASED,15.85,per Hour,0.0,18475.48,0.0,0.0,0.0
2017,DEPARTMENT OF SANITATION,2000-08-21,QUEENS,SANITATION WORKER,ACTIVE,75066.0,per Annum,2085.72,74472.67,229.0,14753.28,13261.51
2017,DEPT OF ED PARA PROFESSIONALS,1997-10-01,MANHATTAN,ANNUAL ED PARA,ACTIVE,39842.0,per Annum,0.0,38222.51,0.0,0.0,0.0
2017,DEPT OF ED PARA PROFESSIONALS,2001-04-04,MANHATTAN,ANNUAL ED PARA,ACTIVE,28645.0,per Annum,0.0,27605.76,0.0,0.0,0.0
2017,COMMUNITY COLLEGE (BRONX),2015-09-16,BRONX,NON-TEACHING ADJUNCT II,CEASED,42.95,per Hour,0.0,38.7,0.0,0.0,0.0
2017,DEPARTMENT OF SANITATION,2005-08-15,BROOKLYN,SANITATION WORKER,ACTIVE,75066.0,per Annum,1959.3,70038.76,299.0,16768.1,3940.42
2017,BOARD OF ELECTION POLL WORKERS,2015-01-01,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,850.0,0.0,0.0,0.0
2017,DEPARTMENT OF CORRECTION,2004-08-12,QUEENS,CORRECTION OFFICER,ACTIVE,82808.0,per Annum,2085.72,84295.91,606.52,37627.42,12049.06
2017,DEPARTMENT FOR THE AGING,2014-01-13,MANHATTAN,FOSTER GRANDPARENT,ACTIVE,2.65,per Hour,810.0,2257.8,0.0,0.0,159.0
2017,DEPARTMENT OF SANITATION,2012-05-21,QUEENS,AUTO MECHANIC,ACTIVE,322.4,per Day,2085.72,85906.09,359.5,21269.77,3893.81
2017,DEPT OF ED PARA PROFESSIONALS,2012-04-11,MANHATTAN,ANNUAL ED PARA,ACTIVE,39274.0,per Annum,0.0,37849.88,0.0,0.0,0.0
2017,COMMUNITY COLLEGE (KINGSBORO),1991-09-16,BROOKLYN,PROFESSOR,ACTIVE,117120.0,per Annum,260.72,135719.11,0.0,0.0,1000.0
2017,DEPT OF ED HRLY SUPPORT STAFF,2017-03-15,MANHATTAN,SUBSTITUTE SR. SCHOOL LUNCH HELPER,ACTIVE,13.78,per Hour,0.0,2614.76,0.0,0.0,0.0
2017,COMMUNITY COLLEGE (MANHATTAN),2007-08-27,MANHATTAN,ADJUNCT LECTURER,SEASONAL,114.72,per Day,0.0,2447.17,0.0,0.0,588.0
2017,COMMUNITY COLLEGE (HOSTOS),2015-02-09,BRONX,CONTINUING EDUCATION TEACHER,ACTIVE,42.24,per Hour,0.0,167.2,0.0,0.0,0.0
2017,DEPT OF ED HRLY SUPPORT STAFF,2003-09-05,MANHATTAN,F/T SCHOOL LUNCH HELPER,ACTIVE,15.38,per Hour,0.0,18244.85,0.0,0.0,0.0
2017,COMMUNITY COLLEGE (MANHATTAN),2016-01-04,MANHATTAN,COLLEGE ASSISTANT,ACTIVE,12.0,per Hour,0.0,0.0,0.0,0.0,52.27
2017,DEPT OF ED HRLY SUPPORT STAFF,2003-02-04,MANHATTAN,F/T SR. SCHOOL LUNCH HELPER,ACTIVE,15.85,per Hour,0.0,33910.51,0.0,0.0,0.0
2017,DEPT OF ED HRLY SUPPORT STAFF,1997-09-03,MANHATTAN,F/T SCHOOL AIDE,ACTIVE,15.86,per Hour,0.0,28613.1,0.0,29.74,0.0
2017,DEPARTMENT OF TRANSPORTATION,1984-07-16,QUEENS,TRAFFIC DEVICE MAINTAINER,ACTIVE,59892.0,per Annum,2085.72,61614.87,60.5,3288.41,7527.14
2017,DEPARTMENT OF EDUCATION ADMIN,1995-10-02,MANHATTAN,PHYSICAL THERAPIST,ACTIVE,71788.0,per Annum,1369.17,58667.26,0.0,0.0,3925.44
2017,DEPT OF ED HRLY SUPPORT STAFF,2016-12-09,MANHATTAN,STUDENT AIDE,ACTIVE,11.0,per Hour,0.0,738.5,0.0,0.0,0.0
2017,DEPARTMENT OF TRANSPORTATION,2012-12-17,BROOKLYN,BRIDGE REPAIRER AND RIVETER,ACTIVE,386.0,per Day,2085.72,104220.0,403.25,27695.69,125.46
2017,COMMUNITY COLLEGE (QUEENSBORO),1987-09-09,QUEENS,NON-TEACHING ADJUNCT V,ACTIVE,58.26,per Hour,0.0,14.46,0.0,0.0,0.0
2017,COMMUNITY COLLEGE (LAGUARDIA),2016-08-22,QUEENS,COLLEGE LAB TECHNICIAN,ACTIVE,60561.0,per Annum,1535.0,37042.19,0.0,0.0,0.0
2017,COMMUNITY COLLEGE (KINGSBORO),2014-02-25,BROOKLYN,COLLEGE ASSISTANT,CEASED,12.13,per Hour,0.0,1336.35,0.0,0.0,371.22
2017,DEPT OF ED PARA PROFESSIONALS,2014-01-21,MANHATTAN,ANNUAL ED PARA,ACTIVE,39274.0,per Annum,0.0,37950.14,0.0,0.0,0.0
2017,COMMUNITY COLLEGE (QUEENSBORO),2015-09-06,QUEENS,COLLEGE ASSISTANT,ACTIVE,13.45,per Hour,767.5,12348.33,0.0,0.0,451.72
2017,COMMUNITY COLLEGE (HOSTOS),2012-12-03,BRONX,CONTINUING EDUCATION TEACHER,ACTIVE,49.2,per Hour,0.0,142.5,0.0,0.0,0.0
2017,DEPT OF ED PARA PROFESSIONALS,2013-04-29,MANHATTAN,ANNUAL ED PARA,ACTIVE,29954.0,per Annum,0.0,19889.57,0.0,0.0,0.0
2017,BOARD OF ELECTION POLL WORKERS,2015-01-01,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,310.0,0.0,0.0,0.0
2017,BOARD OF ELECTION POLL WORKERS,2016-01-01,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,800.0,0.0,0.0,0.0
2017,COMMUNITY COLLEGE (MANHATTAN),2010-08-26,MANHATTAN,ADJUNCT COLLEGE LAB TECH,ACTIVE,29.38,per Hour,0.0,85.06,0.0,0.0,0.0
2017,DEPARTMENT OF PROBATION,2016-10-31,RICHMOND,PROBATION OFFICER,ACTIVE,42759.0,per Annum,1394.28,27881.19,9.0,276.46,8.25
2017,COMMUNITY COLLEGE (HOSTOS),2012-09-08,BRONX,ADJUNCT LECTURER,SEASONAL,39.46,per Day,0.0,520.52,0.0,0.0,0.0
2017,DEPT OF ED HRLY SUPPORT STAFF,2017-04-25,MANHATTAN,STUDENT AIDE,ACTIVE,11.0,per Hour,0.0,1611.5,0.0,0.0,0.0
2017,DEPARTMENT OF EDUCATION ADMIN,2014-09-07,QUEENS,OCCUPATIONAL THERAPIST,ACTIVE,58.85,per Hour,182.5,10272.9,0.0,0.0,220.8
2017,DEPARTMENT OF SANITATION,2001-08-27,MANHATTAN,SANITATION WORKER,ACTIVE,75066.0,per Annum,2085.72,74472.67,329.0,20342.46,15255.48
2017,DEPT OF ED PARA PROFESSIONALS,2013-05-03,MANHATTAN,ANNUAL ED PARA,CEASED,28650.0,per Annum,0.0,18686.16,0.0,0.0,0.0
2017,DEPT OF ED HRLY SUPPORT STAFF,2016-12-12,MANHATTAN,STUDENT AIDE,ACTIVE,11.0,per Hour,0.0,613.14,0.0,0.0,0.0
2017,DEPT OF ED PARA PROFESSIONALS,2003-03-11,MANHATTAN,ANNUAL ED PARA,ACTIVE,39842.0,per Annum,0.0,38396.92,0.0,0.0,0.0
2017,DEPT OF ED HRLY SUPPORT STAFF,2011-10-14,MANHATTAN,F/T SR. SCHOOL LUNCH HELPER,ACTIVE,15.85,per Hour,0.0,15561.32,0.0,0.0,0.0
2017,DEPARTMENT OF TRANSPORTATION,2014-01-06,MANHATTAN,ELECTRICIAN,ACTIVE,373.03,per Day,1825.0,104505.4,403.5,35166.33,4023.42
2017,DEPT OF ED PARA PROFESSIONALS,2014-10-09,MANHATTAN,ANNUAL ED PARA,ACTIVE,39274.0,per Annum,0.0,32684.22,0.0,0.0,0.0
2017,BOARD OF ELECTION POLL WORKERS,2016-01-01,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,575.0,0.0,0.0,0.0
2017,DEPARTMENT OF SANITATION,1990-07-09,MANHATTAN,GENERAL SUPERINTENDENT,ACTIVE,204016.0,per Annum,2085.72,209935.5,0.0,0.0,0.0
2017,DEPARTMENT OF CORRECTION,2015-01-05,QUEENS,ELECTRICIAN'S HELPER,ACTIVE,236.74,per Day,1876.43,58097.84,680.5,33970.99,2496.75
2017,DEPARTMENT OF CORRECTION,2015-11-02,QUEENS,INVESTIGATOR,CEASED,56650.0,per Annum,1765.25,57361.14,692.5,30708.99,16.5
2017,DEPARTMENT OF TRANSPORTATION,2014-10-27,MANHATTAN,PUBLIC RECORDS AIDE,ACTIVE,36637.0,per Annum,1636.0,34291.95,52.25,1161.67,0.0
2017,DEPT OF ED HRLY SUPPORT STAFF,2004-12-20,MANHATTAN,F/T SCHOOL AIDE,ACTIVE,15.38,per Hour,0.0,33850.55,0.0,1061.25,0.0
2017,CITY COUNCIL,2015-09-22,MANHATTAN,COUNCILMANIC AIDE,ACTIVE,50000.0,Prorated Annual,1825.0,54148.76,0.0,0.0,0.0
2017,COMMUNITY COLLEGE (BRONX),2001-09-05,BRONX,CONTINUING EDUCATION TEACHER,CEASED,45.9,per Hour,0.0,648.0,0.0,0.0,0.0
2017,DEPARTMENT OF EDUCATION ADMIN,2008-07-20,BRONX,SCHOOL COMPUTER TECHNOLOGY SPECIALIST,CEASED,48078.0,per Annum,0.0,1559.21,0.0,0.0,69.0
2017,DEPT OF ED HRLY SUPPORT STAFF,2013-11-26,MANHATTAN,STUDENT AIDE,ACTIVE,11.0,per Hour,0.0,27.0,0.0,0.0,0.0
2017,COMMUNITY COLLEGE (MANHATTAN),2014-04-19,MANHATTAN,NON-TEACHING ADJUNCT I,ACTIVE,42.95,per Hour,0.0,170.34,0.0,0.0,0.0
2017,DEPARTMENT OF EDUCATION ADMIN,2016-01-31,MANHATTAN,PRINCIPAL ADMINISTRATIVE ASSOCIATE,ACTIVE,44142.0,per Annum,1825.0,44657.4,0.0,0.0,0.0
2017,DEPT OF ED PARA PROFESSIONALS,2016-09-08,MANHATTAN,ANNUAL ED PARA,ACTIVE,28469.0,per Annum,0.0,23044.45,0.0,0.0,0.0
2017,BOARD OF ELECTION POLL WORKERS,2015-01-01,MANHATTAN,ELECTION TRAINER,ACTIVE,1.0,per Hour,0.0,4851.66,0.0,0.0,0.0
2017,COMMUNITY COLLEGE (QUEENSBORO),2014-05-09,QUEENS,COLLEGE ASSISTANT,CEASED,10.99,per Hour,0.0,0.0,0.0,0.0,43.24
2017,BOARD OF ELECTION,2008-10-13,BRONX,VOTING MACHINE TECHNICIAN,ACTIVE,35330.0,per Annum,1825.0,43547.71,202.5,6291.67,482.44
2017,COMMUNITY COLLEGE (BRONX),2015-07-01,BRONX,COLLEGE ASSISTANT,ACTIVE,12.0,per Hour,728.75,8385.0,0.0,0.0,5.1
2017,DEPT OF ED PARA PROFESSIONALS,2013-05-03,MANHATTAN,ANNUAL ED PARA,CEASED,37565.0,per Annum,0.0,6260.84,0.0,0.0,0.0
2017,COMMUNITY COLLEGE (KINGSBORO),1981-10-01,BROOKLYN,NON-TEACHING ADJUNCT V,ACTIVE,70.92,per Hour,0.0,94.15,0.0,0.0,0.0
2017,DEPT OF ED HRLY SUPPORT STAFF,2000-12-07,MANHATTAN,F/T SR. SCHOOL LUNCH HELPER,CEASED,15.85,per Hour,0.0,22720.02,0.0,0.0,356.04
2017,DEPARTMENT OF EDUCATION ADMIN,2009-07-01,MANHATTAN,COMPUTER SYSTEMS MANAGER,ACTIVE,159068.0,per Annum,1825.0,160692.55,0.0,0.0,2000.0
2017,DEPT OF CITYWIDE ADMIN SVCS,2016-09-12,MANHATTAN,NEW YORK CITY FELLOW,ACTIVE,28.19,per Hour,1468.7,39429.36,0.0,0.0,0.0
2017,BOARD OF ELECTION POLL WORKERS,2010-01-01,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,200.0,0.0,0.0,0.0
2017,BOARD OF ELECTION POLL WORKERS,2014-01-01,MANHATTAN,ELECTION WORKER,ACTIVE,1.0,per Hour,0.0,575.0,0.0,0.0,0.0
2017,DEPT OF ED PARA PROFESSIONALS,2016-02-12,MANHATTAN,ANNUAL ED PARA,ACTIVE,24688.0,per Annum,0.0,25122.6,0.0,132.56,0.0
2017,DEPARTMENT OF EDUCATION ADMIN,2015-06-01,MANHATTAN,ADMINISTRATIVE EDUCATION OFFICER,CEASED,89429.0,per Annum,1606.0,82958.94,0.0,0.0,0.0
2017,COMMUNITY COLLEGE (KINGSBORO),2008-10-27,BROOKLYN,NON-TEACHING ADJUNCT I,CEASED,43.14,per Hour,0.0,377.76,0.0,0.0,0.0
2017,COMMUNITY COLLEGE (BRONX),2009-11-30,BRONX,THERMOSTAT REPAIRER,ACTIVE,361.48,per Day,1825.0,97599.6,148.5,14097.72,0.0
2017,DEPT OF ED HRLY SUPPORT STAFF,2003-02-03,MANHATTAN,F/T SCHOOL AIDE,CEASED,15.38,per Hour,0.0,12732.3,0.0,0.0,0.0
2017,COMMUNITY COLLEGE (QUEENSBORO),2015-06-03,QUEENS,COLLEGE ASSISTANT,ACTIVE,12.0,per Hour,624.0,7984.28,0.0,0.0,458.16
2017,DEPT OF ED PARA PROFESSIONALS,2015-03-30,MANHATTAN,ANNUAL ED PARA,ACTIVE,29954.0,per Annum,0.0,32630.66,0.0,15.43,29.66
2017,COMMUNITY COLLEGE (MANHATTAN),2014-07-01,MANHATTAN,CONTINUING EDUCATION TEACHER,ACTIVE,39.69,per Hour,800.0,40988.86,0.0,0.0,1000.0
2017,COMMUNITY COLLEGE (KINGSBORO),2016-06-27,BROOKLYN,CONTINUING EDUCATION TEACHER,ACTIVE,40.6,per Hour,7.0,280.0,0.0,0.0,0.0
2017,DEPT OF ED PARA PROFESSIONALS,1997-10-27,MANHATTAN,ANNUAL ED PARA,ACTIVE,41079.0,per Annum,0.0,46321.8,0.0,0.0,0.0
2017,DEPARTMENT OF EDUCATION ADMIN,1989-04-10,MANHATTAN,SENIOR SCHOOL LUNCH AIDE,ACTIVE,36275.0,Prorated Annual,1825.0,37316.84,34.0,659.8,773.44
2017,DEPT OF ED PARA PROFESSIONALS,2016-09-08,MANHATTAN,SUBSTITUTE ED PARA,ACTIVE,147.37,per Day,0.0,9092.01,0.0,0.0,0.0
2017,DEPARTMENT OF EDUCATION ADMIN,2015-10-05,MANHATTAN,COMMUNITY COORDINATOR,ACTIVE,57767.0,per Annum,1825.0,59433.76,78.5,3084.09,57.75
2017,DEPARTMENT OF SANITATION,2013-09-16,MANHATTAN,SANITATION WORKER,CEASED,42295.0,per Annum,427.43,10290.18,30.0,810.28,498.74
2017,COMMUNITY COLLEGE (MANHATTAN),1995-09-07,MANHATTAN,NON-TEACHING ADJUNCT I,ACTIVE,42.95,per Hour,0.0,3.9,0.0,0.0,0.0
2017,COMMUNITY COLLEGE (HOSTOS),2008-08-18,BRONX,ADJUNCT LECTURER,ACTIVE,200.52,per Day,200.72,40257.93,0.0,0.0,1000.0
